"FID"	"OBJECTID"	"AmbulanceR"	"BikeAge_Gr"	"Bike_Age"	"Bike_Alc_D"	"Bike_Dir"	"Bike_Injur"	"Bike_Pos"	"Bike_Race"	"Bike_Sex"	"City"	"County"	"CrashAlcoh"	"CrashDay"	"Crash_Date"	"Crash_Grp"	"Crash_Hour"	"Crash_Loc"	"Crash_Mont"	"Crash_Time"	"Crash_Type"	"Crash_Ty_1"	"Crash_Year"	"Crsh_Sevri"	"Developmen"	"DrvrAge_Gr"	"Drvr_Age"	"Drvr_Alc_D"	"Drvr_EstSp"	"Drvr_Injur"	"Drvr_Race"	"Drvr_Sex"	"Drvr_VehTy"	"ExcsSpdInd"	"Hit_Run"	"Latitude"	"Light_Cond"	"Locality"	"Longitude"	"Num_Lanes"	"Num_Units"	"Rd_Charact"	"Rd_Class"	"Rd_Conditi"	"Rd_Config"	"Rd_Defects"	"Rd_Feature"	"Rd_Surface"	"Region"	"Rural_Urba"	"Speed_Limi"	"Traff_Cntr"	"Weather"	"Workzone_I"	"Location"
"1"	0	1	"Yes"	NA	"11"	"No"	"With Traffic"	"B: Evident Injury"	"Sidewalk / Crosswalk / Driveway Crossing"	"Black"	"Male"	"Durham"	"Durham"	"No"	"Tuesday"	"01/02/2007 12:00:00 AM"	"Parallel Paths - Other Circumstances"	16	"Non-Intersection"	"January"	"16:41"	"Bicyclist Ride Out - Parallel Path"	331225	2007	"B: Evident Injury"	"Residential"	"30-39"	"35"	"No"	"31-35 mph"	"O: No Injury"	"White"	"Male"	"Passenger Car"	"No"	"No"	36.03949	"Daylight"	"Urban (>70% Developed)"	-78.883896	"1 lane"	2	"Straight - Level"	"Local Street"	"Dry"	"Two-Way, Divided, Unprotected Median"	"None"	"No Special Feature"	"Smooth Asphalt"	"Piedmont"	"Urban"	"30 - 35  MPH"	"No Control Present"	"Clear"	"No"	"(36.03949, -78.883896)"
"2"	1	2	"Yes"	"20-24"	"20"	"No"	"Facing Traffic"	"C: Possible Injury"	"Sidewalk / Crosswalk / Driveway Crossing"	"Hispanic"	"Male"	"Cary"	"Wake"	"No"	"Friday"	"01/12/2007 12:00:00 AM"	"Motorist Failed to Yield - Signalized Intersection"	9	"Intersection"	"January"	"9:34"	"Motorist Drive Out - Right Turn on Red"	132151	2007	"C: Possible Injury"	"Residential"	"60-69"	"64"	"No"	"0-5 mph"	"O: No Injury"	"White"	"Male"	"Passenger Car"	"No"	"No"	35.751118	"Daylight"	"Urban (>70% Developed)"	-78.7828	"3 lanes"	2	"Straight - Grade"	"Local Street"	"Dry"	"Two-Way, Divided, Unprotected Median"	"None"	"Four-Way Intersection"	"Smooth Asphalt"	"Piedmont"	"Urban"	"30 - 35  MPH"	"Stop And Go Signal"	"Clear"	"No"	"(35.751118, -78.7828)"
"3"	2	3	"Yes"	"30-39"	"37"	"No"	NA	"B: Evident Injury"	"Non-Roadway"	"Black"	"Male"	"Stallings"	"Union"	"No"	"Monday"	"01/15/2007 12:00:00 AM"	"Non-Roadway"	17	"Non-Roadway"	"January"	"17:55"	"Non-Roadway"	460910	2007	"B: Evident Injury"	"Commercial"	"30-39"	"39"	"No"	"6-10 mph"	"O: No Injury"	"White"	"Female"	"Passenger Car"	"No"	"No"	35.084732	"Dusk"	"Urban (>70% Developed)"	-80.69782	"2 lanes"	2	"Straight - Level"	"Public Vehicular Area"	"Dry"	"Two-Way, Not Divided"	"None"	"No Special Feature"	"Smooth Asphalt"	"Piedmont"	"Urban"	"20 - 25  MPH"	"No Control Present"	"Cloudy"	"No"	"(35.084732, -80.69782)"
"4"	3	4	"Yes"	"30-39"	"30"	"No"	"With Traffic"	"C: Possible Injury"	"Travel Lane"	"White"	"Male"	"Salisbury"	"Rowan"	"No"	"Friday"	"01/19/2007 12:00:00 AM"	"Motorist Left Turn / Merge"	17	"Intersection"	"January"	"17:25"	"Motorist Left Turn - Opposite Direction"	111212	2007	"C: Possible Injury"	"Commercial"	NA	NA	"No"	"31-35 mph"	"Injury"	NA	NA	"Sport Utility"	"No"	"Yes"	35.6844	"Daylight"	"Urban (>70% Developed)"	-80.47932	"2 lanes"	2	"Straight - Grade"	"Local Street"	"Dry"	"Two-Way, Not Divided"	"None"	"Four-Way Intersection"	"Smooth Asphalt"	"Piedmont"	"Urban"	"30 - 35  MPH"	"No Control Present"	"Cloudy"	"No"	"(35.6844, -80.47932)"
"5"	4	5	"Yes"	"40-49"	"45"	"No"	"With Traffic"	"B: Evident Injury"	"Travel Lane"	"Black"	"Male"	"Fayetteville"	"Cumberland"	"No"	"Friday"	"01/12/2007 12:00:00 AM"	"Motorist Overtaking Bicyclist"	12	"Non-Intersection"	"January"	"12:41"	"Motorist Overtaking - Bicyclist Swerved"	311235	2007	"B: Evident Injury"	"Commercial"	"50-59"	"51"	"No"	"31-35 mph"	"O: No Injury"	"Black"	"Female"	"Van"	"No"	"No"	34.999428	"Daylight"	"Urban (>70% Developed)"	-78.90445	"2 lanes"	2	"Straight - Level"	"Local Street"	"Dry"	"Two-Way, Not Divided"	"None"	"No Special Feature"	"Coarse Asphalt"	"Coastal"	"Urban"	"30 - 35  MPH"	"Double Yellow Line, No Passing Zone"	"Clear"	"No"	"(34.999428, -78.90445)"
"6"	5	6	"Yes"	"50-59"	"58"	"No"	"With Traffic"	"B: Evident Injury"	"Sidewalk / Crosswalk / Driveway Crossing"	"White"	"Male"	"Salisbury"	"Rowan"	"No"	"Wednesday"	"01/31/2007 12:00:00 AM"	"Bicyclist Failed to Yield - Signalized Intersection"	9	"Intersection"	"January"	"9:25"	"Bicyclist Ride Out - Signalized  Intersection"	131153	2007	"B: Evident Injury"	"Residential"	NA	NA	"No"	"21-25 mph"	"Injury"	NA	NA	"Passenger Car"	"No"	"Yes"	35.666668	"Daylight"	"Urban (>70% Developed)"	-80.47759	"2 lanes"	2	"Straight - Grade"	"Local Street"	"Dry"	"Two-Way, Not Divided"	"None"	"Four-Way Intersection"	"Smooth Asphalt"	"Piedmont"	"Urban"	"30 - 35  MPH"	"Stop And Go Signal"	"Clear"	"No"	"(35.666668, -80.47759)"
"7"	6	7	"No"	"50-59"	"51"	"Yes"	"With Traffic"	"A: Disabling Injury"	"Travel Lane"	"Black"	"Male"	"None - Rural Crash"	"Randolph"	"Yes"	"Saturday"	"01/06/2007 12:00:00 AM"	"Motorist Overtaking Bicyclist"	19	"Non-Intersection"	"January"	"19:10"	"Motorist Overtaking - Undetected Bicyclist"	311231	2007	"A: Disabling Injury"	"Farms, Woods, Pastures"	"60-69"	"61"	"No"	"41-45 mph"	"O: No Injury"	"White"	"Male"	"Pickup"	"No"	"No"	35.839287	"Dark - Roadway Not Lighted"	"Rural (<30% Developed)"	-79.59008	"2 lanes"	2	"Straight - Level"	"State Secondary Route"	"Dry"	"Two-Way, Not Divided"	"None"	"No Special Feature"	"Coarse Asphalt"	"Piedmont"	"Rural"	"50 - 55  MPH"	"Double Yellow Line, No Passing Zone"	"Cloudy"	"No"	"(35.839287, -79.59008)"
"8"	7	8	"Yes"	NA	"13"	"No"	"With Traffic"	"C: Possible Injury"	"Travel Lane"	"White"	"Male"	"Beaufort"	"Carteret"	"No"	"Sunday"	"02/11/2007 12:00:00 AM"	"Bicyclist Failed to Yield - Sign-Controlled Intersection"	15	"Intersection"	"February"	"15:40"	"Bicyclist Ride Out - Sign-Controlled Intersection"	111142	2007	"C: Possible Injury"	"Residential"	"0-19"	"18"	"No"	"21-25 mph"	"O: No Injury"	"Black"	"Female"	"Passenger Car"	"No"	"No"	34.717346	"Daylight"	"Urban (>70% Developed)"	-76.65675	"2 lanes"	2	"Straight - Level"	"Local Street"	"Dry"	"Two-Way, Not Divided"	"None"	"No Special Feature"	"Smooth Asphalt"	"Coastal"	"Rural"	"20 - 25  MPH"	"Stop Sign"	"Clear"	"No"	"(34.717346, -76.65675)"
"9"	8	9	"Yes"	"16-19"	"18"	"No"	"With Traffic"	"C: Possible Injury"	"Bike Lane / Paved Shoulder"	"White"	"Male"	"Lenoir"	"Caldwell"	"No"	"Monday"	"02/12/2007 12:00:00 AM"	"Motorist Overtaking Bicyclist"	8	"Non-Intersection"	"February"	"8:00"	"Motorist Overtaking - Other /"	321239	2007	"C: Possible Injury"	"Commercial"	NA	NA	NA	NA	"Injury"	NA	NA	"Light Truck (Mini-Van, Panel)"	"No"	"Yes"	35.890682	"Daylight"	"Urban (>70% Developed)"	-81.57649	"5 lanes"	2	"Straight - Level"	"Local Street"	"Dry"	"Two-Way, Not Divided"	"None"	"No Special Feature"	"Coarse Asphalt"	"Mountains"	"Urban"	NA	"No Control Present"	"Cloudy"	"No"	"(35.890682, -81.57649)"
"10"	9	10	"No"	"30-39"	"39"	"No"	"With Traffic"	"B: Evident Injury"	"Travel Lane"	"White"	"Male"	"Eden"	"Rockingham"	"No"	"Tuesday"	"02/20/2007 12:00:00 AM"	"Motorist Overtaking Bicyclist"	9	"Intersection-Related"	"February"	"9:46"	"Motorist Overtaking - Other /"	211239	2007	"B: Evident Injury"	"Residential"	"70+"	"70+"	"No"	"41-45 mph"	"Injury"	NA	"Male"	"Passenger Car"	"No"	"Yes"	36.512688	"Daylight"	"Urban (>70% Developed)"	-79.75971	"2 lanes"	2	"Straight - Grade"	"Local Street"	"Dry"	"Two-Way, Not Divided"	NA	"No Special Feature"	"Smooth Asphalt"	"Piedmont"	"Urban"	"30 - 35  MPH"	"No Control Present"	"Clear"	"No"	"(36.512688, -79.75971)"
